time_us,steer_ms,throttle_ms,speed_mps,setpoint_mps,error,kalman0,kalman1,kalman2,kalman3
12403131,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
12503153,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
12603181,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
12703223,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
12803232,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
12903265,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
13003280,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
13103317,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
13203341,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
13303371,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
13403403,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
13503429,1500,1500,0.0000,10.0000,-11.9178,0.0000,0.0000,0.0000,0.0000
